date,unit 1,unit 2,unit 3,unit 4,unit 5,unit 6,unit 7,unit 8
2017-03-25T00:00+10,153,152,171,162,174,177,179,169
2017-03-25T00:05+10,146,145,171,163,174,178,178,171
2017-03-25T00:10+10,151,150,171,162,174,177,178,170
2017-03-25T00:15+10,151,150,171,162,174,177,178,170
2017-03-25T00:20+10,151,150,170,162,174,177,177,170
2017-03-25T00:25+10,150,149,170,162,174,176,177,170
2017-03-25T00:30+10,156,153,170,162,174,177,179,170
2017-03-25T00:35+10,151,150,170,162,174,176,179,170
2017-03-25T00:40+10,151,150,170,162,174,176,178,170
2017-03-25T00:45+10,142,140,171,162,174,175,177,171
2017-03-25T00:50+10,155,153,170,162,174,176,178,170
2017-03-25T00:55+10,150,149,170,162,174,178,177,171
2017-03-25T01:00+10,152,152,171,162,174,177,179,172
2017-03-25T01:05+10,151,150,170,162,174,177,178,170
2017-03-25T01:10+10,149,149,170,162,174,177,179,171
2017-03-25T01:15+10,150,152,170,162,174,177,179,171
2017-03-25T01:20+10,151,150,171,162,174,177,178,171
2017-03-25T01:25+10,150,150,171,162,174,177,179,170
2017-03-25T01:30+10,148,148,171,162,174,177,177,171
2017-03-25T01:35+10,150,152,171,162,174,178,178,171
2017-03-25T01:40+10,149,151,171,162,174,178,178,171
2017-03-25T01:45+10,149,152,171,161,175,178,178,170
2017-03-25T01:50+10,150,150,172,163,175,177,177,171
2017-03-25T01:55+10,149,149,171,162,175,177,177,171
2017-03-25T02:00+10,149,153,171,161,175,177,178,170
2017-03-25T02:05+10,150,152,170,162,175,178,179,171
2017-03-25T02:10+10,149,152,171,162,174,177,177,170
2017-03-25T02:15+10,149,148,170,162,175,176,177,170
2017-03-25T02:20+10,149,149,171,161,174,177,177,171
2017-03-25T02:25+10,150,149,171,161,174,176,176,170
2017-03-25T02:30+10,149,151,170,162,174,177,179,171
2017-03-25T02:35+10,149,153,170,161,174,176,178,170
2017-03-25T02:40+10,150,150,171,162,174,176,177,170
2017-03-25T02:45+10,150,150,170,162,174,176,177,171
2017-03-25T02:50+10,150,149,170,162,174,176,177,171
2017-03-25T02:55+10,149,150,171,162,174,176,177,170
2017-03-25T03:00+10,149,148,170,162,174,176,176,171
2017-03-25T03:05+10,150,150,171,162,174,177,177,170
2017-03-25T03:10+10,149,149,171,162,174,176,177,170
2017-03-25T03:15+10,146,146,171,162,174,176,177,171
2017-03-25T03:20+10,147,146,171,162,174,176,177,170
2017-03-25T03:25+10,150,150,170,162,174,176,177,170
2017-03-25T03:30+10,150,150,170,161,174,176,178,170
2017-03-25T03:35+10,150,153,171,162,174,176,178,170
2017-03-25T03:40+10,149,149,170,161,174,176,178,170
2017-03-25T03:45+10,149,152,170,161,174,176,177,169
2017-03-25T03:50+10,149,149,170,161,172,176,177,170
2017-03-25T03:55+10,149,150,170,161,173,176,178,170
2017-03-25T04:00+10,150,152,170,162,172,176,177,169
2017-03-25T04:05+10,148,150,170,162,176,176,178,170
2017-03-25T04:10+10,149,152,171,161,174,176,178,170
2017-03-25T04:15+10,150,152,171,162,175,177,177,169
2017-03-25T04:20+10,145,145,170,162,174,176,176,170
2017-03-25T04:25+10,144,143,170,162,174,176,177,170
2017-03-25T04:30+10,150,150,171,162,174,176,177,170
2017-03-25T04:35+10,150,150,170,162,173,176,177,171
2017-03-25T04:40+10,148,149,170,162,174,176,178,170
2017-03-25T04:45+10,150,149,170,162,174,176,177,170
2017-03-25T04:50+10,141,141,170,162,174,176,176,171
2017-03-25T04:55+10,150,153,170,161,174,177,176,170
2017-03-25T05:00+10,149,152,171,162,174,177,178,171
2017-03-25T05:05+10,149,152,170,161,174,176,178,170
2017-03-25T05:10+10,149,152,170,162,174,176,178,170
2017-03-25T05:15+10,149,152,170,162,174,176,178,170
2017-03-25T05:20+10,147,147,170,162,174,176,176,170
2017-03-25T05:25+10,145,144,170,162,174,176,177,169
2017-03-25T05:30+10,150,150,170,161,174,176,178,170
2017-03-25T05:35+10,146,146,171,162,174,176,177,170
2017-03-25T05:40+10,149,150,170,162,175,176,177,170
2017-03-25T05:45+10,149,151,170,161,172,177,178,170
2017-03-25T05:50+10,149,152,169,161,176,176,176,170
2017-03-25T05:55+10,145,145,170,162,174,177,176,170
2017-03-25T06:00+10,142,141,170,162,174,176,176,170
2017-03-25T06:05+10,149,152,171,161,175,176,177,169
2017-03-25T06:10+10,146,146,171,162,174,176,177,170
2017-03-25T06:15+10,149,150,170,163,174,176,178,170
2017-03-25T06:20+10,147,148,171,163,174,176,177,171
2017-03-25T06:25+10,143,143,170,162,174,176,177,171
2017-03-25T06:30+10,149,150,171,162,174,177,178,170
2017-03-25T06:35+10,149,150,171,162,174,176,178,171
2017-03-25T06:40+10,149,149,170,161,174,176,179,170
2017-03-25T06:45+10,149,150,170,160,174,177,178,170
2017-03-25T06:50+10,145,144,170,162,174,177,177,170
2017-03-25T06:55+10,150,150,170,162,173,176,177,170
2017-03-25T07:00+10,149,151,170,162,174,176,178,170
2017-03-25T07:05+10,149,150,170,162,174,176,177,170
2017-03-25T07:10+10,147,147,169,162,173,176,177,170
2017-03-25T07:15+10,148,149,170,162,174,176,177,171
2017-03-25T07:20+10,143,141,171,160,174,176,178,170
2017-03-25T07:25+10,150,153,171,162,173,177,179,169
2017-03-25T07:30+10,149,151,170,160,174,176,179,170
2017-03-25T07:35+10,149,149,171,162,174,176,179,170
2017-03-25T07:40+10,149,149,170,161,174,176,178,171
2017-03-25T07:45+10,149,153,170,162,174,176,178,171
2017-03-25T07:50+10,149,150,171,162,174,176,178,171
2017-03-25T07:55+10,149,150,170,162,173,176,178,170
2017-03-25T08:00+10,149,149,170,161,173,176,177,171
2017-03-25T08:05+10,149,150,171,162,173,177,178,170
2017-03-25T08:10+10,149,150,170,161,174,176,177,170
2017-03-25T08:15+10,150,152,170,162,172,177,177,170
2017-03-25T08:20+10,150,150,170,162,173,177,179,170
2017-03-25T08:25+10,149,149,171,162,173,177,178,171
2017-03-25T08:30+10,150,151,170,161,174,177,177,170
2017-03-25T08:35+10,149,149,171,162,173,178,176,170
2017-03-25T08:40+10,150,150,170,161,173,176,177,170
2017-03-25T08:45+10,150,150,170,162,174,177,178,170
2017-03-25T08:50+10,146,146,170,161,173,177,176,170
2017-03-25T08:55+10,149,150,170,161,173,177,178,171
2017-03-25T09:00+10,148,150,170,161,174,177,177,170
2017-03-25T09:05+10,149,149,170,162,174,177,176,170
2017-03-25T09:10+10,149,150,171,161,173,177,178,170
2017-03-25T09:15+10,149,149,171,161,174,178,176,170
2017-03-25T09:20+10,150,152,171,162,174,178,177,170
2017-03-25T09:25+10,149,152,171,162,175,176,178,170
2017-03-25T09:30+10,149,148,172,162,175,177,176,170
2017-03-25T09:35+10,149,152,171,158,175,177,178,170
2017-03-25T09:40+10,150,150,171,161,174,178,177,170
2017-03-25T09:45+10,149,150,171,158,174,178,177,170
2017-03-25T09:50+10,149,150,171,155,175,177,176,170
2017-03-25T09:55+10,145,145,171,155,175,177,176,170
2017-03-25T10:00+10,144,144,171,154,174,177,175,170
2017-03-25T10:05+10,148,149,171,156,174,177,176,170
2017-03-25T10:10+10,150,150,171,157,175,177,177,171
2017-03-25T10:15+10,148,150,170,156,175,177,177,170
2017-03-25T10:20+10,149,150,171,155,175,177,176,169
2017-03-25T10:25+10,151,152,171,155,173,177,177,170
2017-03-25T10:30+10,149,150,170,156,174,177,177,170
2017-03-25T10:35+10,149,150,171,156,174,177,178,169
2017-03-25T10:40+10,144,144,170,155,175,176,176,170
2017-03-25T10:45+10,149,151,170,156,174,176,177,170
2017-03-25T10:50+10,145,144,170,156,173,176,176,171
2017-03-25T10:55+10,150,151,170,157,174,177,177,170
2017-03-25T11:00+10,148,148,169,157,174,176,178,170
2017-03-25T11:05+10,149,150,170,157,174,176,177,170
2017-03-25T11:10+10,148,150,170,157,173,176,176,170
2017-03-25T11:15+10,150,151,170,157,174,177,177,170
2017-03-25T11:20+10,149,153,170,156,174,177,179,171
2017-03-25T11:25+10,149,152,170,157,174,177,179,170
2017-03-25T11:30+10,146,146,170,156,173,177,177,170
2017-03-25T11:35+10,149,150,169,156,173,178,177,170
2017-03-25T11:40+10,148,149,170,157,174,177,177,169
2017-03-25T11:45+10,150,150,170,156,174,177,178,170
2017-03-25T11:50+10,149,149,170,157,174,177,178,169
2017-03-25T11:55+10,149,150,171,156,173,177,177,170
2017-03-25T12:00+10,149,150,170,157,173,176,178,170
2017-03-25T12:05+10,148,149,170,156,174,177,176,170
2017-03-25T12:10+10,149,149,170,156,174,177,177,169
2017-03-25T12:15+10,147,148,170,157,173,176,177,169
2017-03-25T12:20+10,148,150,170,157,173,176,176,169
2017-03-25T12:25+10,149,150,170,157,173,176,177,169
2017-03-25T12:30+10,149,151,169,156,173,177,177,170
2017-03-25T12:35+10,149,152,169,157,173,176,176,170
2017-03-25T12:40+10,149,151,169,157,173,176,178,170
2017-03-25T12:45+10,149,152,169,156,174,176,177,169
2017-03-25T12:50+10,149,151,170,157,174,176,176,171
2017-03-25T12:55+10,149,150,169,157,174,176,177,170
2017-03-25T13:00+10,144,143,169,156,174,176,176,170
2017-03-25T13:05+10,149,150,170,157,173,176,176,169
2017-03-25T13:10+10,144,144,170,157,174,176,176,170
2017-03-25T13:15+10,149,150,169,156,173,175,176,170
2017-03-25T13:20+10,148,150,170,157,173,176,175,170
2017-03-25T13:25+10,149,150,170,156,174,176,175,170
2017-03-25T13:30+10,149,152,170,157,174,175,176,170
2017-03-25T13:35+10,149,152,170,157,174,177,177,170
